,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Children Involved,Teens Involved,Accident,Mass Shooting,Year,Quarter,Month,Week,Weekday
1967792,1967792,01-Apr-21,Louisiana,Baton Rouge,300 block of N Foster Dr,1.0,1.0,True,False,False,False,2021,2,4,13,3
1967420,1967420,01-Apr-21,West Virginia,Moorefield,506 Winchester Ave,3.0,0.0,True,False,False,False,2021,2,4,13,3
1966743,1966743,01-Apr-21,Ohio,Columbus,2500 block of Wallcrest Blvd,0.0,1.0,True,False,False,False,2021,2,4,13,3
1967044,1967044,01-Apr-21,Texas,Fort Worth,3200 block of Knox St,0.0,1.0,False,True,True,False,2021,2,4,13,3
1966396,1966396,01-Apr-21,Arizona,Phoenix,67th Ave and McDowell Rd,0.0,1.0,False,True,True,False,2021,2,4,13,3
1966893,1966893,01-Apr-21,Pennsylvania,Harrisburg,2200 block of Berryhill St,1.0,0.0,False,True,False,False,2021,2,4,13,3
1967785,1967785,01-Apr-21,Arkansas,Little Rock,21st St and Bragg St,0.0,1.0,False,True,False,False,2021,2,4,13,3
1967348,1967348,01-Apr-21,Wisconsin,Milwaukee,1900 block of N 21st St,0.0,1.0,True,False,False,False,2021,2,4,13,3
1967453,1967453,01-Apr-21,Minnesota,Saint Paul (Maplewood),County Rd D,0.0,1.0,False,True,False,False,2021,2,4,13,3
1966730,1966730,01-Apr-21,District of Columbia,Washington,2600 block of Martin Luther King Jr Ave SE,1.0,1.0,False,True,False,False,2021,2,4,13,3
1967663,1967663,01-Apr-21,California,Sacramento,2000 block of Del Paso Blvd,1.0,2.0,False,True,False,False,2021,2,4,13,3
1967078,1967078,01-Apr-21,Massachusetts,Stoughton,Sumner St,0.0,1.0,False,True,False,False,2021,2,4,13,3
1966373,1966373,01-Apr-21,Ohio,Columbus,1632 Red Leaf Ln,0.0,1.0,True,False,True,False,2021,2,4,13,3
2268243,2268243,01-Apr-22,Tennessee,Memphis,3005 E Point Cove,1.0,0.0,False,True,False,False,2022,2,4,13,4
2268852,2268852,01-Apr-22,Missouri,Lees Summit,I-470 and NE Lakewood Blvd,1.0,0.0,False,True,False,False,2022,2,4,13,4
2269070,2269070,01-Apr-22,Iowa,Des Moines,Washington Ave and 14th St,0.0,1.0,False,True,False,False,2022,2,4,13,4
2269121,2269121,01-Apr-22,Illinois,Waukegan,3059 Washington St,0.0,2.0,False,False,True,False,2022,2,4,13,4
2269076,2269076,01-Apr-22,Wisconsin,Milwaukee,W Auer Ave and N 29th St,0.0,1.0,False,True,False,False,2022,2,4,13,4
2268864,2268864,01-Apr-22,California,Bakersfield,Flower St and Brown St,1.0,0.0,False,True,False,False,2022,2,4,13,4
2267983,2267983,01-Apr-22,Texas,San Antonio,5627 Culebra Rd,0.0,2.0,False,True,False,False,2022,2,4,13,4
2268792,2268792,01-Apr-22,Louisiana,Shreveport,7800 block of Youree Dr,0.0,1.0,True,False,True,False,2022,2,4,13,4
2268185,2268185,01-Apr-22,Texas,Fort Worth,3700 block of Chickasaw Ave,0.0,1.0,False,True,False,False,2022,2,4,13,4
2269259,2269259,01-Apr-22,South Carolina,Walterboro,1900 Block of Logan Farm Rd,0.0,4.0,False,True,False,True,2022,2,4,13,4
2269020,2269020,01-Apr-22,Alabama,Fairfield,900 Milstead Rd,0.0,1.0,False,True,False,False,2022,2,4,13,4
2268648,2268648,01-Apr-22,Florida,Bradenton,19th St Ct E,0.0,1.0,False,True,False,False,2022,2,4,13,4
2269208,2269208,01-Apr-22,Florida,Daytona Beach,1300 block of Westwood Dr,0.0,2.0,False,True,False,False,2022,2,4,13,4
2268847,2268847,01-Apr-22,Missouri,Saint Louis,4300 block of N Florissant Ave,0.0,1.0,True,False,False,False,2022,2,4,13,4
2278822,2278822,01-Apr-22,Washington,Sedro Woolley,False,1.0,0.0,False,False,True,False,2022,2,4,13,4
2268578,2268578,01-Apr-22,Louisiana,Shreveport,2800 block of Morningside Dr,1.0,1.0,True,False,True,False,2022,2,4,13,4
2273911,2273911,01-Apr-22,Georgia,Austell,7200 Premier Ln,0.0,1.0,True,False,True,False,2022,2,4,13,4
2268912,2268912,01-Apr-22,California,Fresno,N Glenn Ave and E McKenzie Ave,0.0,2.0,False,True,False,False,2022,2,4,13,4
2080352,2080352,01-Aug-21,Wisconsin,Milwaukee,6200 block of Custer Ave,0.0,2.0,False,True,False,False,2021,3,8,30,6
2080725,2080725,01-Aug-21,Florida,Gainesville,112 SW 1 Ave,0.0,3.0,False,True,False,False,2021,3,8,30,6
2080002,2080002,01-Aug-21,Colorado,Denver,1700 block of W Mississippi Ave,0.0,3.0,False,True,False,False,2021,3,8,30,6
2079913,2079913,01-Aug-21,Louisiana,New Orleans,Bourbon St and Orleans Ave,0.0,5.0,False,False,False,True,2021,3,8,30,6
2080568,2080568,01-Aug-21,Illinois,Chicago,4800 block of W Nelson St,0.0,2.0,False,False,True,False,2021,3,8,30,6
2080632,2080632,01-Aug-21,Wisconsin,Milwaukee,W Locust St and N 36th St,0.0,1.0,False,True,False,False,2021,3,8,30,6
2080536,2080536,01-Aug-21,Rhode Island,Providence,77 Reservoir Ave,0.0,5.0,False,False,False,True,2021,3,8,30,6
2080390,2080390,01-Aug-21,Texas,Nacogdoches,1400 block of Dolph St,1.0,3.0,False,False,False,True,2021,3,8,30,6
2081020,2081020,01-Aug-21,New York,Rochester,False,0.0,1.0,False,False,True,False,2021,3,8,30,6
2080586,2080586,01-Aug-21,Florida,Cocoa,Kennedy Cir,0.0,1.0,True,False,True,False,2021,3,8,30,6
2083263,2083263,01-Aug-21,Texas,Uvalde,431 Apolonio St,0.0,1.0,False,False,True,False,2021,3,8,30,6
2247434,2247434,01-Aug-21,Georgia,Winder,Gordon Court,0.0,1.0,False,False,True,False,2021,3,8,30,6
2080915,2080915,01-Aug-21,New York,Bay Shore (North Bay Shore),Manatuck Blvd,0.0,1.0,True,False,False,False,2021,3,8,30,6
2080489,2080489,01-Aug-21,Texas,San Antonio,5500 block of Castle Way,0.0,1.0,False,True,False,False,2021,3,8,30,6
2080555,2080555,01-Aug-21,Washington,Renton,300 block of Rainier Ave S,0.0,1.0,False,False,True,False,2021,3,8,30,6
2079728,2079728,01-Aug-21,Florida,Jacksonville,135 W Monroe St,0.0,2.0,False,True,False,False,2021,3,8,30,6
2079920,2079920,01-Aug-21,Louisiana,New Orleans,1600 block of Iberville St,1.0,3.0,False,True,False,True,2021,3,8,30,6
2080970,2080970,01-Aug-21,Florida,Miami Gardens,18740 NW 27th Ave,1.0,0.0,False,True,False,False,2021,3,8,30,6
2080250,2080250,01-Aug-21,Georgia,Macon,3661 Eisenhower Pkwy,1.0,0.0,False,True,False,False,2021,3,8,30,6
2080419,2080419,01-Aug-21,Maryland,Temple Hills,6600 block of Summerhill Rd,1.0,1.0,False,True,False,False,2021,3,8,30,6
2080577,2080577,01-Aug-21,Pennsylvania,Philadelphia,9500 block of Clark St,1.0,0.0,False,False,True,False,2021,3,8,30,6
2083065,2083065,01-Aug-21,Alabama,Talladega,Tinney St,1.0,0.0,False,True,False,False,2021,3,8,30,6
2081433,2081433,01-Aug-21,Mississippi,Houston,Church St,1.0,0.0,False,True,True,False,2021,3,8,30,6
2081398,2081398,01-Aug-21,Oklahoma,Tulsa,E 46th St N and N Lewis Ave,0.0,1.0,False,True,False,False,2021,3,8,30,6
2081494,2081494,01-Aug-21,Utah,Smithfield,False,1.0,0.0,True,False,True,False,2021,3,8,30,6
2081354,2081354,01-Aug-21,Missouri,Independence,200 block of E Walnut St,1.0,0.0,True,False,True,False,2021,3,8,30,6
2080140,2080140,01-Aug-21,Wisconsin,Milwaukee,1307 S 9th St,1.0,0.0,True,False,True,False,2021,3,8,30,6
2180063,2180063,01-Dec-21,Virginia,Portsmouth,False,0.0,1.0,False,True,False,False,2021,4,12,48,2
2180455,2180455,01-Dec-21,New Jersey,Jersey City,428 Grand St,0.0,2.0,False,True,False,False,2021,4,12,48,2
2180515,2180515,01-Dec-21,Massachusetts,Northampton,23 Randolph Pl,1.0,0.0,False,False,True,False,2021,4,12,48,2
2179980,2179980,01-Dec-21,Georgia,Columbus,2500 block of Schaul St,1.0,0.0,False,False,True,False,2021,4,12,48,2
2180994,2180994,01-Dec-21,Virginia,Newport News,13200 block of Aqueduct Dr,0.0,2.0,False,True,False,False,2021,4,12,48,2
2182401,2182401,01-Dec-21,Pennsylvania,Edinboro,Irish Rd and Middle Rd,0.0,1.0,False,False,True,False,2021,4,12,48,2
2180073,2180073,01-Dec-21,Illinois,Joliet,929 W Jefferson St,0.0,2.0,False,False,True,False,2021,4,12,48,2
2180544,2180544,01-Dec-21,Arizona,Chandler,N Arizona Ave and E Warner Rd,0.0,1.0,False,False,True,False,2021,4,12,48,2
2180041,2180041,01-Dec-21,Kansas,Kansas City,N 55th St and Georgia Ave,2.0,2.0,True,False,False,False,2021,4,12,48,2
2179669,2179669,01-Dec-21,California,Beverly Hills,1140 Maytor Pl,1.0,1.0,False,False,True,False,2021,4,12,48,2
1917661,1917661,01-Feb-21,New York,Rochester,400 block of Lyell Avenue,1.0,3.0,False,False,False,True,2021,1,2,5,0
1920422,1920422,01-Feb-21,Georgia,Thomasville,510 Albany Rd,0.0,1.0,False,False,True,False,2021,1,2,5,0
1918640,1918640,01-Feb-21,New York,Bronx,Washington Ave and E 180th St,0.0,1.0,False,True,True,False,2021,1,2,5,0
1925002,1925002,01-Feb-21,Kansas,Wichita,1009 block of N Ash St,1.0,0.0,False,True,False,False,2021,1,2,5,0
1917084,1917084,01-Feb-21,Florida,Tampa,2310 N Dale Mabry Hwy,0.0,1.0,False,False,True,False,2021,1,2,5,0
1918356,1918356,01-Feb-21,Michigan,Monroe,Stewart Rd and N Telegraph Rd,0.0,2.0,False,True,False,False,2021,1,2,5,0
1918452,1918452,01-Feb-21,West Virginia,Lester,Burma Ln,1.0,0.0,False,False,True,False,2021,1,2,5,0
1917413,1917413,01-Feb-21,New York,Bronx,1686 Seward Ave,0.0,1.0,False,True,False,False,2021,1,2,5,0
1918851,1918851,01-Feb-21,Oklahoma,Oklahoma City,NW 48th St and N Classen Blvd,0.0,1.0,False,True,False,False,2021,1,2,5,0
1917553,1917553,01-Feb-21,Louisiana,Baton Rouge,1000 block of N Ardenwood,0.0,1.0,False,True,False,False,2021,1,2,5,0
1918000,1918000,01-Feb-21,Ohio,Cincinnati,2400 block of Saturn Ave,1.0,2.0,False,True,False,False,2021,1,2,5,0
1917645,1917645,01-Feb-21,Louisiana,Baton Rouge,Scenic Hwy and 75th Ave,0.0,1.0,True,False,True,False,2021,1,2,5,0
1917555,1917555,01-Feb-21,Texas,Tyler,2900 block of Carter Blvd,0.0,1.0,False,True,False,False,2021,1,2,5,0
2225058,2225058,01-Feb-22,Michigan,Detroit,9924 Wyoming Ave,2.0,0.0,False,False,True,False,2022,1,2,5,1
2225376,2225376,01-Feb-22,South Carolina,Cordova,Elder Branch Rd,0.0,1.0,False,False,True,False,2022,1,2,5,1
2224754,2224754,01-Feb-22,Indiana,Indianapolis,4400 block of N College Ave,1.0,0.0,False,True,False,False,2022,1,2,5,1
2225637,2225637,01-Feb-22,Louisiana,Monroe,4000 block of Spurgeon Dr,1.0,2.0,False,True,False,False,2022,1,2,5,1
2224986,2224986,01-Feb-22,Maryland,Greenbelt,7800 block of Mandan Rd,1.0,1.0,False,True,False,False,2022,1,2,5,1
2224205,2224205,01-Feb-22,Minnesota,Minneapolis (Richfield),7450 Penn Ave S,1.0,2.0,False,True,False,False,2022,1,2,5,1
2224642,2224642,01-Feb-22,North Carolina,Greensboro,1600 Block of McPherson St,1.0,0.0,False,True,False,False,2022,1,2,5,1
2224861,2224861,01-Feb-22,Tennessee,Antioch,1100 block of Bell Rd,0.0,1.0,False,True,False,False,2022,1,2,5,1
2224130,2224130,01-Feb-22,Ohio,Columbus,Deshler Ave and Parsons Ave,0.0,1.0,False,True,False,False,2022,1,2,5,1
2226967,2226967,01-Feb-22,Ohio,Warren (Howland),Elm Rd and Overland Ave,0.0,2.0,False,True,False,False,2022,1,2,5,1
2225445,2225445,01-Feb-22,Missouri,Saint Louis,N Tucker Blvd and Olive St,0.0,2.0,False,True,False,False,2022,1,2,5,1
2226217,2226217,01-Feb-22,Colorado,Colorado Springs,3200 block of Heather Glen Dr,2.0,0.0,True,False,False,False,2022,1,2,5,1
2224376,2224376,01-Feb-22,Illinois,Chicago,5000 block of N Harding Ave,0.0,1.0,False,True,False,False,2022,1,2,5,1
2224513,2224513,01-Feb-22,South Carolina,Summerville,1053 St James Ave,0.0,1.0,False,True,False,False,2022,1,2,5,1
2224788,2224788,01-Feb-22,Wisconsin,Milwaukee,1801 W Olive St,0.0,5.0,False,True,False,True,2022,1,2,5,1
2225074,2225074,01-Feb-22,Maryland,Salisbury,E Church St and Naylor St,0.0,2.0,False,True,False,False,2022,1,2,5,1
2224487,2224487,01-Feb-22,Illinois,Chicago,217 E 35th St,1.0,1.0,False,False,True,False,2022,1,2,5,1
2224250,2224250,01-Feb-22,Georgia,Columbus,4200 block of Green Ridge Dr,1.0,0.0,True,False,True,False,2022,1,2,5,1
2225035,2225035,01-Feb-22,Colorado,Aurora,15000 block of E 13th Pl,0.0,1.0,False,True,False,False,2022,1,2,5,1
2226276,2226276,01-Feb-22,Louisiana,Shreveport,200 block of W 85th St,0.0,1.0,False,False,True,False,2022,1,2,5,1
1891720,1891720,01-Jan-21,Illinois,Galesburg,1000 block of Monroe St,0.0,4.0,False,False,False,True,2021,1,1,53,4
1892698,1892698,01-Jan-21,Ohio,Columbus,885 Danwood Dr,3.0,0.0,True,False,False,False,2021,1,1,53,4
1892088,1892088,01-Jan-21,Texas,Arlington,700 block of Washington Dr,1.0,0.0,True,False,True,False,2021,1,1,53,4
1892704,1892704,01-Jan-21,Texas,Amarillo,2650 Dumas Dr,1.0,3.0,False,False,False,True,2021,1,1,53,4
1925609,1925609,01-Jan-21,Missouri,Wyaconda,False,1.0,0.0,False,True,False,False,2021,1,1,53,4
1892857,1892857,01-Jan-21,Texas,San Antonio,500 block of W Vestal Pl,1.0,0.0,False,True,False,False,2021,1,1,53,4
1892049,1892049,01-Jan-21,Michigan,Detroit,19500 block of Troester St,1.0,0.0,False,True,False,False,2021,1,1,53,4
1892151,1892151,01-Jan-21,Tennessee,Memphis,False,0.0,2.0,False,True,False,False,2021,1,1,53,4
1892552,1892552,01-Jan-21,Maryland,Baltimore,S Warwick Ave and Hollins St,0.0,1.0,False,True,False,False,2021,1,1,53,4
1891988,1891988,01-Jan-21,California,Sacramento,3200 block of 42nd St,1.0,1.0,False,True,False,False,2021,1,1,53,4
1891636,1891636,01-Jan-21,Indiana,Indianapolis,9300 block of Norcross Ct,1.0,1.0,False,True,False,False,2021,1,1,53,4
1893149,1893149,01-Jan-21,New Jersey,Paterson,E 25th St and 14th Ave,0.0,1.0,False,True,False,False,2021,1,1,53,4
1891413,1891413,01-Jan-21,New York,Corona (Queens),526 46th Ave,0.0,2.0,False,True,False,False,2021,1,1,53,4
1892997,1892997,01-Jan-21,New York,Syracuse,200 block of Mountainview Ave,0.0,1.0,False,True,False,False,2021,1,1,53,4
1892565,1892565,01-Jan-21,Florida,Bradenton,200 block of 27th Ave W,0.0,1.0,False,True,False,False,2021,1,1,53,4
1892059,1892059,01-Jan-21,Colorado,Westminster,4901 W 93rd Ave,0.0,2.0,False,True,False,False,2021,1,1,53,4
1892114,1892114,01-Jan-21,Iowa,Sioux City,2637 S Walker St,1.0,4.0,False,True,False,True,2021,1,1,53,4
1892294,1892294,01-Jan-21,Texas,San Antonio,Larkspur Dr and Belair Dr,0.0,1.0,False,True,False,False,2021,1,1,53,4
1892284,1892284,01-Jan-21,West Virginia,Huntington,1200 block of 25th St,0.0,2.0,False,True,False,False,2021,1,1,53,4
1891933,1891933,01-Jan-21,California,Fresno,N Wishon Ave and E Garland Ave,0.0,1.0,False,False,True,False,2021,1,1,53,4
1891537,1891537,01-Jan-21,Texas,Houston,2611 Garden City Dr,0.0,1.0,True,False,True,False,2021,1,1,53,4
1892909,1892909,01-Jan-21,Ohio,Columbus,E Main St and Nelson Rd,0.0,1.0,False,False,True,False,2021,1,1,53,4
1891535,1891535,01-Jan-21,Texas,Houston,1700 block of Fulton St,0.0,1.0,False,False,True,False,2021,1,1,53,4
1891395,1891395,01-Jan-21,New York,Brooklyn,670 Lincoln Ave,0.0,1.0,False,False,True,False,2021,1,1,53,4
1891634,1891634,01-Jan-21,Ohio,Columbus,Deshler Ave and Penfield Rd,0.0,1.0,False,False,True,False,2021,1,1,53,4
1896621,1896621,01-Jan-21,Michigan,Battle Creek,Harold St,0.0,1.0,False,True,True,False,2021,1,1,53,4
1892556,1892556,01-Jan-21,Maryland,Baltimore,False,0.0,1.0,False,False,True,False,2021,1,1,53,4
1892804,1892804,01-Jan-21,Texas,Laredo,Regina Dr,0.0,1.0,False,True,True,False,2021,1,1,53,4
1891520,1891520,01-Jan-21,Illinois,Chicago,8700 block of S Buffalo Ave,1.0,1.0,False,False,True,False,2021,1,1,53,4
1893945,1893945,01-Jan-21,Alaska,Cantwell,False,0.0,1.0,False,False,True,False,2021,1,1,53,4
1891950,1891950,01-Jan-21,Wisconsin,Milwaukee,N 16th St and W Burleigh St,0.0,1.0,False,False,True,False,2021,1,1,53,4
1892128,1892128,01-Jan-21,Texas,Arlington,1600 block of Connally Terr,1.0,0.0,False,False,True,False,2021,1,1,53,4
1892034,1892034,01-Jan-21,Arkansas,Fort Smith,3211 Towson Ave,0.0,7.0,False,False,True,True,2021,1,1,53,4
2205797,2205797,01-Jan-22,Virginia,Richmond,Cedar St,0.0,1.0,False,False,True,False,2022,1,1,52,5
2204097,2204097,01-Jan-22,South Carolina,Lamar,Bo Smith Rd,0.0,1.0,False,False,True,False,2022,1,1,52,5
2208526,2208526,01-Jan-22,Virginia,Virginia Beach,Malibu Palms Dr,0.0,1.0,False,False,True,False,2022,1,1,52,5
2201826,2201826,01-Jan-22,Maryland,Baltimore,1600 block of N Pulaski St,0.0,1.0,True,False,True,False,2022,1,1,52,5
2204129,2204129,01-Jan-22,Texas,Laredo,4500 block of Emma Ln,0.0,1.0,False,False,True,False,2022,1,1,52,5
2201995,2201995,01-Jan-22,Louisiana,Shreveport,3400 block of Gorton Rd,0.0,1.0,False,True,False,False,2022,1,1,52,5
2202001,2202001,01-Jan-22,Illinois,Peoria,2000 block of SW Adams St,2.0,2.0,False,False,False,True,2022,1,1,52,5
2202534,2202534,01-Jan-22,Indiana,Gary,6800 block of W 25th Ave,0.0,1.0,False,False,True,False,2022,1,1,52,5
2202614,2202614,01-Jan-22,Florida,Orlando,Cinderlane Pkwy and Rosewood Way,0.0,3.0,False,True,False,False,2022,1,1,52,5
2202510,2202510,01-Jan-22,Illinois,Chicago,1000 block of N Lawndale Ave,0.0,1.0,False,True,False,False,2022,1,1,52,5
2203557,2203557,01-Jan-22,New Jersey,Bridgeton,205 Cottage Ave,0.0,2.0,False,True,False,False,2022,1,1,52,5
2202126,2202126,01-Jan-22,Georgia,Auburn,False,1.0,3.0,False,True,False,False,2022,1,1,52,5
2204803,2204803,01-Jan-22,Texas,Mcallen,False,1.0,0.0,False,False,True,False,2022,1,1,52,5
2201641,2201641,01-Jan-22,Wisconsin,Kenosha,1708 52nd St,1.0,3.0,False,False,False,True,2022,1,1,52,5
2202450,2202450,01-Jan-22,Louisiana,New Orleans,Decatur St and Spain St,0.0,1.0,True,False,False,False,2022,1,1,52,5
2202107,2202107,01-Jan-22,Wisconsin,Milwaukee,6000 block of N Sherman Blvd,0.0,1.0,True,False,False,False,2022,1,1,52,5
2203909,2203909,01-Jan-22,Texas,Houston,3322 Yellowstone Blvd,0.0,1.0,True,False,False,False,2022,1,1,52,5
2208658,2208658,01-Jan-22,New York,Syracuse,100 block of Lawrence St,0.0,1.0,True,False,False,False,2022,1,1,52,5
2202715,2202715,01-Jan-22,Maryland,Baltimore,2000 block of N Broadway,0.0,1.0,False,True,False,False,2022,1,1,52,5
2202135,2202135,01-Jan-22,Illinois,Westmont,430 E Ogden Ave,0.0,2.0,False,True,False,False,2022,1,1,52,5
2201891,2201891,01-Jan-22,Connecticut,New Haven,900 block of Chapel St,0.0,1.0,False,True,False,False,2022,1,1,52,5
2201876,2201876,01-Jan-22,South Carolina,Dillon,3261 Hwy 9,0.0,5.0,False,False,False,True,2022,1,1,52,5
2201677,2201677,01-Jan-22,Colorado,Denver,1919 Blake St,2.0,2.0,False,False,False,True,2022,1,1,52,5
2201848,2201848,01-Jan-22,Indiana,South Bend,1500 block of S Miami St,0.0,4.0,False,False,False,True,2022,1,1,52,5
2202826,2202826,01-Jan-22,Louisiana,New Orleans (Algiers),1400 block of Sumner St,0.0,1.0,False,True,False,False,2022,1,1,52,5
2202438,2202438,01-Jan-22,Missouri,Saint Louis,7100 block of Field Ave,0.0,1.0,False,True,True,False,2022,1,1,52,5
2202453,2202453,01-Jan-22,Louisiana,New Orleans,Edgelake Ct,0.0,1.0,True,False,True,False,2022,1,1,52,5
2201629,2201629,01-Jan-22,Pennsylvania,Philadelphia,1600 block of Cecil B Moore Ave,1.0,4.0,False,True,False,True,2022,1,1,52,5
2201834,2201834,01-Jan-22,Maryland,Baltimore,3600 block of Gelston Dr,2.0,1.0,False,True,False,False,2022,1,1,52,5
2202025,2202025,01-Jan-22,Missouri,Columbia,122 S 9th St,0.0,4.0,False,True,False,True,2022,1,1,52,5
2202148,2202148,01-Jan-22,Tennessee,Memphis,3150 S Perkins Rd,0.0,2.0,False,True,False,False,2022,1,1,52,5
2201762,2201762,01-Jan-22,New York,Bronx,505 West 181st St,0.0,1.0,False,False,True,False,2022,1,1,52,5
2050814,2050814,01-Jul-21,Indiana,Elkhart,300 block of Gross St,0.0,2.0,False,True,False,False,2021,3,7,26,3
2050606,2050606,01-Jul-21,Texas,Houston,1100 W Little York Rd,0.0,2.0,False,True,False,False,2021,3,7,26,3
2049765,2049765,01-Jul-21,Illinois,Chicago,300 block of S Oakley Blvd,0.0,1.0,False,True,False,False,2021,3,7,26,3
2050463,2050463,01-Jul-21,South Carolina,North Charleston,Luella Ave,0.0,1.0,False,True,False,False,2021,3,7,26,3
2050063,2050063,01-Jul-21,Florida,Saint Petersburg,600 block of 34th Ave S,0.0,1.0,False,True,False,False,2021,3,7,26,3
2051285,2051285,01-Jul-21,Pennsylvania,Philadelphia,1900 block of S 56th St,0.0,1.0,False,True,False,False,2021,3,7,26,3
2050136,2050136,01-Jul-21,Georgia,Lawrenceville,50 St Marlowe Dr,1.0,1.0,False,True,False,False,2021,3,7,26,3
2050709,2050709,01-Jul-21,Delaware,Newark,13 Salem Village Square,0.0,1.0,False,True,False,False,2021,3,7,26,3
2050353,2050353,01-Jul-21,Virginia,Chesapeake,1200 block of Seaboard Ave,2.0,2.0,True,True,False,True,2021,3,7,26,3
2049782,2049782,01-Jul-21,Illinois,Chicago,11300 block of S Wentworth Ave,1.0,2.0,True,False,False,False,2021,3,7,26,3
2050810,2050810,01-Jul-21,Arizona,Tucson,7600 block of E Toronto St,3.0,0.0,False,True,False,False,2021,3,7,26,3
2050931,2050931,01-Jul-21,California,Fresno,Cedar Ave and Paul Ave,1.0,0.0,False,True,False,False,2021,3,7,26,3
2051581,2051581,01-Jul-21,Mississippi,Canton,300 block of N West St,1.0,0.0,False,True,False,False,2021,3,7,26,3
2050160,2050160,01-Jul-21,Missouri,Saint Louis,4000 block of Ohio Ave,0.0,2.0,True,True,False,False,2021,3,7,26,3
2050593,2050593,01-Jul-21,Illinois,Chicago,6500 block of S Halsted St,0.0,7.0,True,True,False,True,2021,3,7,26,3
2050453,2050453,01-Jul-21,Missouri,Saint Louis,3200 block of Itaska St,0.0,1.0,False,True,False,False,2021,3,7,26,3
2050144,2050144,01-Jul-21,Illinois,Chicago,800 block of E 79th St,0.0,2.0,True,False,True,False,2021,3,7,26,3
2050910,2050910,01-Jul-21,Texas,Houston,8200 block of Millicent St,0.0,1.0,True,False,True,False,2021,3,7,26,3
2050926,2050926,01-Jul-21,California,Fresno,Fruit Ave and Ashlan Ave,0.0,2.0,False,False,True,False,2021,3,7,26,3
2050591,2050591,01-Jul-21,Florida,Middleburg,2500 block of Silver Moss Cir,0.0,1.0,False,True,True,False,2021,3,7,26,3
2049916,2049916,01-Jul-21,Texas,Houston,11212 Westpark Dr,1.0,1.0,True,False,False,False,2021,3,7,26,3
2050257,2050257,01-Jul-21,Ohio,Columbus,462 S Eureka Ave,1.0,0.0,True,False,True,False,2021,3,7,26,3
2050397,2050397,01-Jul-21,Pennsylvania,Philadelphia,5500 block of Whitby Ave,1.0,0.0,True,False,True,False,2021,3,7,26,3
2051370,2051370,01-Jul-21,Missouri,West Plains,Co Rd 3010,1.0,0.0,True,False,True,False,2021,3,7,26,3
2050151,2050151,01-Jul-21,South Carolina,Spartanburg,225 Amelia St,2.0,4.0,False,False,False,True,2021,3,7,26,3
2023346,2023346,01-Jun-21,Pennsylvania,Turtle Creek,1400 block of Maple Ave,0.0,1.0,False,True,False,False,2021,2,6,22,1
2021898,2021898,01-Jun-21,Kentucky,Dawson Springs,100 block of Hosick Ave,1.0,0.0,False,True,False,False,2021,2,6,22,1
2022512,2022512,01-Jun-21,Texas,Fort Worth,2151 SE Loop 820,1.0,0.0,False,True,False,False,2021,2,6,22,1
2022188,2022188,01-Jun-21,Texas,Lumberton (Rose Hill Acres),4940 US 69,1.0,0.0,False,False,True,False,2021,2,6,22,1
2023360,2023360,01-Jun-21,Pennsylvania,York,100 block of S Hartley St,0.0,1.0,False,True,False,False,2021,2,6,22,1
2022016,2022016,01-Jun-21,Illinois,Chicago,2021 N Burling St,0.0,1.0,False,True,False,False,2021,2,6,22,1
2022485,2022485,01-Jun-21,Illinois,Chicago,5201 W Congress Pkwy,0.0,2.0,True,False,False,False,2021,2,6,22,1
2022759,2022759,01-Jun-21,Alabama,Birmingham (Ensley),2000 block of Ave P,1.0,0.0,False,True,False,False,2021,2,6,22,1
2022446,2022446,01-Jun-21,Florida,Deltona,1050 Enterprise Osteen Rd,0.0,1.0,False,True,False,False,2021,2,6,22,1
2021954,2021954,01-Jun-21,Louisiana,Baton Rouge,2959 College Dr,0.0,1.0,False,False,True,False,2021,2,6,22,1
2028771,2028771,01-Jun-21,Pennsylvania,North Versailles,US-30 and Warren Dr,0.0,1.0,False,True,False,False,2021,2,6,22,1
2021701,2021701,01-Jun-21,Virginia,Hampton,W Pembroke Ave and N Back River Rd,0.0,1.0,False,True,False,False,2021,2,6,22,1
2022227,2022227,01-Jun-21,Ohio,Cleveland,3267 W 38th St,1.0,0.0,False,True,False,False,2021,2,6,22,1
2036846,2036846,01-Jun-21,Virginia,Newport News,800 block of 23rd St,0.0,1.0,True,False,True,False,2021,2,6,22,1
2021563,2021563,01-Jun-21,Texas,Fort Worth,2900 block of Jonah Dr,3.0,0.0,False,True,False,False,2021,2,6,22,1
2021774,2021774,01-Jun-21,Maryland,Baltimore,1200 block of N Eden St,0.0,1.0,False,True,False,False,2021,2,6,22,1
2021772,2021772,01-Jun-21,Texas,San Antonio,10362 Sahara Dr,0.0,1.0,False,False,True,False,2021,2,6,22,1
2022311,2022311,01-Jun-21,Pennsylvania,Philadelphia,1200 block of Chelton Ave,1.0,1.0,False,False,True,False,2021,2,6,22,1
2022441,2022441,01-Jun-21,Michigan,Highland,2000 block of N Milford Rd,0.0,1.0,False,False,True,False,2021,2,6,22,1
2021624,2021624,01-Jun-21,Illinois,Chicago,4700 block of S Ada St,0.0,3.0,False,True,False,False,2021,2,6,22,1
2021747,2021747,01-Jun-21,Georgia,Columbus,Bismark Dr,1.0,0.0,False,True,False,False,2021,2,6,22,1
